movieName;Metascore_w;Author;AuthorHref;Date;Summary;InteractionsYesCount;InteractionsTotalCount;InteractionsThumbUp;InteractionsThumbDown;rel_inc;abs_inc
catwoman;1;AnsonG.;;Dec 15, 2006;"[ ""Oh my, where do I begin? Well Ii could tell you that this is a well made action movie, but obviously I would be lying my head off. So instead, I want to tell you the truth. Are you ready? Here it comes........\""DONT SEE THIS MOVIE\"" Let me tell you why. If you see this movie and are over the age of 16, you will end up hating yourself for letting yourself rot for 104 minutes without getting back, except an increased feeling of wanting to get revenge on Hollywood. They say that it is very hard to get your script into a movie. Well, after seing this movie, I think a one legged monkey could write a better script without either pen or paper. The fact that Halle Berry even uses a male stunt double, makes me lose all respect for both her and this movie. Besides the stunt double, the movie still sucks. The dialog sucks, the acting is not even present and the action looks sloppy and poorly thought through. This movie actually made me like The Core better, which is pretty much impossible."" ]";2.0;2.0;;;inf;1
hulk;1;AnsonG.;;Jun  6, 2006;"[ ""Worse and nothin special about this movie. Hulk is the worse and terrible i ever seen. Even this movie and cartoon was famous from US, but Ang Lee was mistaken to create this movie. Ok, here i disspointment of this movie. 1st, the lovers dont get on. 2nd, when hulk fighting against tank and helicopter comanche, doesnt explode at all, it just crash and trash only. For the kids, yes, they like to see that. I doubt Eric Bana was wrong to choose as character Hulk. This movie doesnt make any sense at all and very boring. If u havent watch this, i advise u dont."" ]";0.0;0.0;;;inf;1
forrest-gump;10;drlowdon;/user/drlowdon;May 24, 2013;"[ ""Forrest Gump is without doubt my favourite movie of all time. I am rarely one to watch a film more than once but I must have now seen Forrest Gump at least 5 or 6 times over the years. Tom Hanks is at his brilliant best as the title character and it is a credit to the rest of the cast that they are not completely overshadowed by his performance."", """", ""At times this movie is able to make you laugh one minute and almost cry the next (\""I miss you Jenny\"")."", """", ""A must see."" ]";0.0;0.0;0.0;0.0;10.0;9
war-of-the-worlds;10;patrickd.;;Nov 23, 2005;[];0.0;0.0;;;10.0;9
million-dollar-baby;10;patrickd.;;Oct 15, 2005;[];0.0;0.0;;;10.0;9
mystic-river;10;patrickd.;;Oct 30, 2005;[];0.0;1.0;;;10.0;9
together;10;patrickd.;;Nov  6, 2005;[];0.0;0.0;;;10.0;9
princess-mononoke;10;patrickd.;;Dec 17, 2005;[];0.0;0.0;;;10.0;9
the-shawshank-redemption;10;patrickd.;;Sep 22, 2005;[];1.0;1.0;;;10.0;9
the-dark-knight-rises;9;ToM-tOm;/user/ToM-tOm;Jul 22, 2012;"[ ""The Dark Knight Rises is a fitting end to the dark knight trilogy. It has a brilliantly crafted plot that brings the trilogy full circle, a few minor niggles prevent it from surpassing The Dark Knight but these are forgivable considering this film wasn't what Nolan had originally intended. It is however Bales finest performance as Bruce Wayne most notably in an emotionally charged scene with the equally brilliant Michael Caine, and Tom Hardy's Bane phenomenally scary and portrayed brilliantly (which is an incredible feat considering he had half of his face covered). All in all a great film which focuses mostly on the development of characters than supplying you with gimmicky action set pieces, i guarantee you will enjoy as long as you're not overly sensitive to minor plot holes."" ]";1.0;2.0;1.0;1.0;9.0;8
mad-max-fury-road;9;drlowdon;/user/drlowdon;Jul 22, 2017;"[ ""In a world ruined by nuclear holocaust Imperator Furiosa rebels against her tyrannical leader, freeing his captive wives and leaving in search of a new home. The plot of Fury Road is pretty simple and, as some of the negative reviews have pointed out, much of the movie amounts to a series of car chases. Fortunately these car chases are absolutely spectacular and feature some of the most incredible stunt work you'll ever see and I was entertained from start to finish. Without doubt one of the best action movies ever made."" ]";0.0;0.0;0.0;0.0;9.0;8
senna;9;drlowdon;/user/drlowdon;Apr 12, 2014;"[ ""Piecing together footage and interviews Senna follows the career of the legendary Brazilian Formula One driver Ayrton Senna from his arrival in Europe in 1978 to his tragic death in 1994 aged just thirty-four."", ""Whether you are a formula one fan or not this insight into one of motor racings, indeed sports, most unique personalities Senna makes for a fascinating and moving watch throughout."" ]";0.0;0.0;0.0;0.0;9.0;8
toy-story-3;9;drlowdon;/user/drlowdon;Dec 24, 2013;"[ ""When you go to see a Toy Story movie you know you will laugh and be entertained but you don't expect to shed a tear (a manly tear mind!) as well, but that is exactly what this third movie in the series delivers. If this is the final entry in the series its a great way to finish."" ]";0.0;0.0;0.0;0.0;9.0;8
the-hurt-locker;9;drlowdon;/user/drlowdon;Jan 23, 2015;"[ ""When Sergeant James takes over a highly trained bomb disposal team stationed in Iraq, he surprises his team with his reckless and dangerous methods. As the battle continues all around them the team attempt to curb their new leader before his actions have serious consequences for everyone."", """", ""With explosives everywhere and every civilian a potential enemy The Hurt Locker brilliantly portrays the intense nature of working and living in war torn territory. The movie is about far more than just men blowing things up however and as the movie unfolds we learn about the motivations of each of the men involved giving us a fascinating insight into their world."", """", ""With brilliant performances all round The Hurt Locker is one of the best war movies ever made."" ]";1.0;2.0;1.0;1.0;9.0;8
the-dark-knight;9;drlowdon;/user/drlowdon;Oct 30, 2014;"[ ""Continuing from where Batman Begins ended peerless director Christopher Nolan reunites with Christian Bale for the continuing story of The Dark Knight. With the help of Lieutenant Jim Gordon and District Attorney Harvey Dent Batman sets out to put a halt to the criminal activity that plagues Gotham City. Just as everything seems to be going their way the peace is shattered by a criminal mastermind known as The Joker."", """", ""Batman may be on the DVD cover but this is really The Jokers movie. Following the death of Heath Ledger prior to the movies release there was huge hype regarding his performance and he certainly delivers. His portrayal is a far cry from the camp 1960s iteration and as creepy and disturbing as any villain in cinema history. Running at about two and a half hours in length The Dark Knight needed a worthwhile plot to go with the high quality action scenes and on this count the movie again doesn't fail featuring plenty of twists and surprises."", """", ""The Dark Knight is without doubt the best super hero movie of all time."" ]";2.0;2.0;2.0;0.0;9.0;8
300;9;drlowdon;/user/drlowdon;Oct 30, 2014;"[ ""Inspired by a true story, 300, tells the story of King Leonadis who, bound by honour, leads his 300 man Spartan army against the seemingly endless Persian Horde attacking his homeland."", """", ""As with Sin City the movie remains faithful to Frank Millers graphic novel providing a truly fantastic spectacle as the Spartans face up to the unknown. The simple plot plays in the movies favour by allowing the focus to remain largely on the battle itself which is brilliantly directed and as good, if not better, than anything else in cinema history. As the movie progresses it is difficult not to side with Leonadis as they continue to fight against insurmountable odds and the two hours will simply fly by."", """", ""A true milestone for visuals in cinema that has still yet to be bettered."" ]";0.0;1.0;0.0;1.0;9.0;8
pans-labyrinth;9;drlowdon;/user/drlowdon;Oct 30, 2014;"[ ""A young girl (Ofelia) travels with her mother to live with her new step father, a cruel encampment captain, in a rural area of Northern Spain towards the end of World War II.  On her way there Ofelia learns of the story of a Princess that ran away from her kingdom only to be killed. Her father vowed he would wait for her return as long as breath still flowed through his body. Upon her arrival, Ofelia is visited by fantastical creatures urging her to claim her rightful crown as the missing Princess, a process that sends her on a journey that provides an escape from the horrific real world events all around her."", """", ""Pan's Labyrinth is a dark movie with most scenes set in the brutal, and very real world, of the Spanish encampment that sees some shocking moments of violence. Sergi Lopez plays the Spanish captain to perfection making the events seem all the more real and horrifying. The visual effects of the fantasy world are simply stunning, providing an excellent contrast to the real world in which Ofelia lives and making her decisions all the more understandable."", """", ""Where Pan's Labyrinth really succeeds though is in allowing the audience to make up their own mind about what is real and what is not. Talk to a selection of people who have watched the movie and each will have their own take on events, all of which are plausible when watching the film for a second time."" ]";0.0;0.0;0.0;0.0;9.0;8
toy-story;9;drlowdon;/user/drlowdon;Dec 24, 2013;"[ ""The animation may now be slightly dated compared to more modern efforts but Toy Story is one of very few movies than can claim to have truly changed cinema and arguably still remains Disney Pixar's finest hour. Intelligent and funny you'd have to have a heart of stone not to enjoy this movie."" ]";1.0;1.0;1.0;0.0;9.0;8
sin-city;9;drlowdon;/user/drlowdon;May 24, 2013;"[ ""Spilt into chapters Sin City is a faithful adaptation of three of Frank Millers violent, but brilliantly written, Sin City stories. Shot largely in black and white using Millers graphic novels as story boards director Rodriguez has been able to create a visual feast the likes of which still hasn't been matched."", """", ""Fortunately the stories themselves are able to match the visuals with each of the three fast-paced and engaging chapters providing truly memorable heroes and villains that take full advantage of the impressively talented cast. An all out success just sit back and enjoy two hours of fantastic entertainment."" ]";3.0;3.0;3.0;0.0;9.0;8
shaun-of-the-dead;9;drlowdon;/user/drlowdon;Apr 12, 2014;"[ ""Shaun is generally a nice guy but drives his girlfriend mad with his lack of ambition and insistence on spending every evening in the local pub. When London suddenly comes under attack from zombies Shaun realizes that, with the help of best friend Ed, it is his time to shine."", """", ""Shaun of the Dead is basically a spoof of the zombie movie genre but, unlike the terrible Scary Movie franchise; it shows a genuine understanding and love of the movies in which it spoofs. Featuring a great cast of British comic talent it is far funnier than the majority of comedy movies to come from this country (the duos attempts to imitate a zombie are simply hilarious)."", """", ""Not lacking in gore and violence fans of horror films will find just as much entertainment as comedy fans in what has rightly become a cult classic."" ]";0.0;0.0;0.0;0.0;9.0;8
identity;9;drlowdon;/user/drlowdon;May 25, 2013;"[ ""Two, seemingly unconnected, plotlines run throughout Identity. In one ten travellers are forced to seek shelter in a remote motel following a sudden torrential downpour. It soon turns out that there may be killer among them as one by one the guests start to go missing. Meanwhile in an office elsewhere a late appeal is being heard to decide the fate of serial killer Malcolm Rivers."", """", ""Featuring an excellent cast Identity does an excellent job of keeping the audience guessing throughout, almost everyone seemingly becoming the number one suspect at some point. When the reality eventually unfolds it is a truly unexpected twist that importantly holds up on second viewing. A tense, clever thriller Identity is certainly one to watch."" ]";9.0;9.0;9.0;0.0;9.0;8
terminator-2-judgment-day;9;drlowdon;/user/drlowdon;May 24, 2013;"[ ""The first Terminator was a very good film but this sequel took the franchise to a level it hadn't reached before or since."", """", ""With Sarah Connor from the original movie now institutionalised her son, and future leader of the resistance against the machines, John Connor is living with Foster parents. The machines that rule the future send back a cyborg, played by the terrifying Robert Patrick, whilst the humans send back their own cyborg to protect him. Schwarzenegger again excels in a role he was born to play, his voice and physique suiting his cyborg character perfectly."", """", ""This all leads to a series of truly memorable action sequences that still largely stand up today in terms of special effects. Add to this a surprisingly good script for what is largely an action fare and you have the ultimate action blockbuster."" ]";4.0;4.0;4.0;0.0;9.0;8
the-big-lebowski;9;drlowdon;/user/drlowdon;Jun 11, 2017;"[ ""Mistaking him for millionaire Jeff Lebowski two thugs break into the apartment of the chilled out and unemployed Jeff (The Dude) Lebowski, believing that they can extort him for money, and soiling his living room rug in the process. Hoping to get getting a replacement for his rug The Dude visits to his wealthy namesake but soon finds himself caught up in a completed plot involving all manner of criminal activities."", ""With little plot to speak of it was important that yet again the Coen brothers have managed to create some truly memorable characters. Jeff Bridges is fantastic as The Dude and the foul mouthed Walter, played by John Goodman, delivers some brilliantly funny lines. Aside from arguably few scenes in the middle of the movie The Big Lebowski is consistently funny throughout and one of the best comedy movies of the 1990s."" ]";0.0;0.0;0.0;0.0;9.0;8
frailty;9;drlowdon;/user/drlowdon;May 24, 2013;"[ ""Having terrorised a small Texan town years before, the God's Hand Killer has returned leaving many more victims. Late at night Fenton Meiks arrives at FBI Headquarters claiming he knows the killers identity and so, in order to convince Agent Doyle Fenton, returns to the beginning of a story that started with his father."", """", ""Frailty doesnt rely on blood and gore to produce its shocks instead choosing to gradually explore the relationship between Meiks, his brother and his father. The story that builds is truly gripping as we learn the origin of the Gods Hand Killer and start to understand how Meiks knows as much as he does. Thankfully the finale is able to match the rest of the film making for one of the most underrated thrillers in recent times."" ]";3.0;3.0;3.0;0.0;9.0;8
a-beautiful-mind;9;drlowdon;/user/drlowdon;Apr 12, 2014;"[ ""Directed by Ron Howard A Beautiful Mind is based loosely on the biography of mathematician John Forbes Nash (Crowe). The film follows the eccentric Nash from his time at Princeton, struggling to think of an original idea that will get him noticed, through to his code cracking work at MIT but everything is not quite as it seems."", """", ""A Beautiful Mind leaves out many of the more unsavoury aspects of Nashs life choosing to focus on his battle to save his career and marriage whilst suffering from severe schizophrenia. Russell Crowe is as fantastic as ever in the lead role and Jennifer Connelly deservedly won an Oscar for her portrayal of Nash’s long suffering partner Alicia. Both help to provide a subtle yet compelling look at one mans struggle to have his genius seen above his debilitating mental illness making for a truly moving film."" ]";0.0;1.0;0.0;1.0;9.0;8
groundhog-day;9;drlowdon;/user/drlowdon;Oct 30, 2014;"[ ""Weatherman Phil Connors is sent to Punxsutawney, Pennsylvania to begrudgingly cover the annual Groundhog Day festivities. Following the broadcast he tries to leave town but finds himself caught in a snowstorm which forces him to spend the night. Unfortunately for Phil he awakes the next day to find that it is actually Groundhog Day again and again and again. At first confused by his predicament Phil soon realises that he can also use it to his advantage; to re-write the events of his day, and to generally have a whale of a time."", """", ""The repeating day formula has now been done to death in movies and on TV but none have ever lived up to the quality of Groundhog Day. This is largely due to Bill Murray, always a brilliant comic actor, but is truly exceptional here. The movie does contain some darker moments as Phil finds himself losing hope but Groundhog Day is primarily a comedy, and an excellent one at that, and the fact that the term Groundhog Day has entered popular culture is the best testament to this."", """", ""Often imitated but never bettered Groundhog Day is a must see movie."" ]";1.0;1.0;1.0;0.0;9.0;8
jurassic-park;9;drlowdon;/user/drlowdon;May 28, 2017;"[ ""I’m pretty sure everyone knows the plot so I’ll just say that, as far as I’m concerned, Jurassic Park remains one of the best movies ever made with more memorable scenes than virtually any other I can think off. At the time of release it was an awe inspiring feature and it is testament to the films quality that, not only is it just as watchable over twenty years later, but no other movie in the genre has ever bettered it."" ]";0.0;0.0;0.0;0.0;9.0;8
unbreakable;9;drlowdon;/user/drlowdon;Apr 12, 2014;"[ ""Having been involved in a terrible train crash David Dunn awakes in hospital to find that, not only is he is the sole survivor, but that he is completely unharmed. He is soon confronted by an odd stranger who has some peculiar claims about why he was able to survive the crash leading David on a journey to fulfil his destiny."", """", ""Making a follow up to the universally acclaimed Sixth Sense was always going to be a difficult task but M. Night Shyamalan fully delivers here. Davids transformation from lowly security guard to something much bigger (I wont spoil what) is both fascinating and yet still believable in part thanks to the understated performance of Bruce Willis in the lead role and Samuel L Jackson is as watchable as ever. This of course would not be an M. Night Shyamalan movie if it didn’t have a twist at the end and, while perhaps not quite as clever as The Sixth Sense, it again certainly comes as a surprise."", """", ""Often unfairly compared to M. Night Shyamalans debut Unbreakable is an excellent film in its own right that will entertain most who watch it."" ]";0.0;0.0;0.0;0.0;9.0;8
american-beauty;9;drlowdon;/user/drlowdon;Oct 30, 2014;"[ ""From director Sam Mendes and Six Feet Under creator Alan Ball American Beauty follows the final days of Lester, a middle-class man whose marriage and life is on the rocks. Lester is not liked by his wife or daughter and is about to be sacked from his job. As a result he decides to live his life exactly how he wants, to the further frustration of his family."", """", ""The film deservedly won five Academy Awards including best picture, best director and best actor. Writer Alan Ball delivers a clever and darkly humorous script much in the vein of the excellent Six Feet Under and the cast are uniformly brilliant, particularly Kevin Spacey in the lead role. American Beauty provides a fascinating insight into what might be going on behind the closed doors of seemingly normal suburban households and is certainly a movie worth seeing."" ]";2.0;2.0;2.0;0.0;9.0;8
jaws;9;drlowdon;/user/drlowdon;May 25, 2013;"[ ""When a swimmer is killed by a great white shark, Sheriff Brody proposes that the beaches be shut down to prevent further attacks. Unfortunately the authorities aren't so keen to keep people out of the water with the summer tourist season in full swing..."", """", ""It has been said many times before but even when viewing the film nearly fourty years after its release it remains a masterpiece. Partly due to the fact that special effects weren't up to scratch at the time Spielberg wisely decided to limit the screen time of the shark itself instead using John William's memorably haunting score to ramp up the suspense. The pacing of the movie is perfect as the tension gradually rises throughout the film until it reaches its thrilling climax."", """", ""This is movie making at its very best."" ]";0.0;1.0;0.0;1.0;9.0;8
gladiator;9;drlowdon;/user/drlowdon;Oct 30, 2014;"[ ""Late in the second century Maximus Meridius leads the Roman armies fight in Germania with the knowledge that ailing Emperor Marcus Aurelius has earmarked him to run the empire alongside the senate when he passes away. His son however has other ideas. Angered by what he feels is a betrayal he sets about exerting his murderous authority and Maximus, having refused to swear his loyalty, only narrowly escapes with his life. Bent on vengeance Maximus later returns to Rome as a gladiator hoping to take down the new emperor."", """", ""Aside from a few plot holes Gladiator is peerless in its quality. Russell Crowe, always an excellent actor, plays his defining role, his presence commanding attention throughout the film and the supporting cast do well not to be completely overshadowed by his performance. The action sequences are brilliantly shot and staggering in their realism as all the gory details are shown. As the film reaches its climax this all combines to make it impossible to not root for Maximus in what is arguably the movie of the decade."" ]";1.0;1.0;1.0;0.0;9.0;8
taxi-to-the-dark-side;9;drlowdon;/user/drlowdon;Oct 29, 2014;"[ ""Using the capture, torture and subsequent death of a seemingly innocent Afghanistani taxi-driver as a starting point, Taxi to the Dark Side, explores the United States treatment of prisoners during the so called 'war on terror' instigated by George W Bush and his administration during the mid 2000's."", """", ""Filmmaker Alex Gibney never shy's away from asking people the tough questions and his interviews with those involved in the torture, and experts on interrogation, reveals the shocking truth about what went on in Parwan Detention Facility and Guantanamo Bay. With its subject nature, and use of disturbing imagery to illustrate its case, Taxi to the Dark Side is not an easy watch in places but anyone in any doubt as to the use of torture in warfare needs to see this film."" ]";0.0;0.0;0.0;0.0;9.0;8
the-green-mile;9;drlowdon;/user/drlowdon;May 24, 2013;"[ ""As with the fantastic Shawshank Redemption, The Green Mile is based on a Stephen King story and directed by Frank Darabont and I can give no higher praise than to say it is just as good."", """", ""The film centres on a stretch of death row known as The Green Mile in which a giant of a man known as John Coffey, accused of murdering two young girls, has been imprisoned. King is widely known for his horror books but, while there are supernatural elements to this story, as with The Shawshank Redemption this film is all about relationships between people in difficult circumstances."", """", ""The Green Mile may be three hours long but every minute of that is used to develop the characters and story so that by the end we really do care what happens to them. Those that dismiss Kings work as chart filler may be pleasantly surprised by what they find in this movie."" ]";1.0;1.0;1.0;0.0;9.0;8
the-sixth-sense;9;drlowdon;/user/drlowdon;May 24, 2013;"[ ""Following an assault from an ex-patient psychologist Malcolm Crowe meets a young child named Cole, who suffers from the same diagnosis as the ex-patient and claims he can see dead people. Determined to help the boy Malcolm attempts to teach Cole to overcome his fears."", """", ""Throughout the film M. Night Shyamalan creates an eerie atmosphere making for fascinating viewing. It is difficult to say much more about The Sixth Sense without spoiling the finale for those that have not seen the movie (although there can't be many people who are unaware of how the film ends) but it certainly is one of those rare films that is almost better when watched for the second time when you know what to look out for. As for the cast Bruce Willis puts in another good acting performance but Hayley Joel Osment steals the show in, what I believe, was his movie debut making for an almost perfect movie package."" ]";3.0;3.0;3.0;0.0;9.0;8
the-usual-suspects;9;drlowdon;/user/drlowdon;May 24, 2013;"[ ""As the movie opens five well known criminals are rounded up and questioned as to their involvement in the hijacking of a truck full of guns. No one cracks and as the men sit together in jail they hatch a plan for an elaborate diamond heist."", """", ""The story is told in the past tense by one of the five men, Verbal Kint, as he sits across from a detective trying to uncover what happened during the attempted heist. This provides a unique twist in that not everything Kint describes is necessarily accurate or true and keeps the viewer constantly guessing as to the true nature of his involvement."", """", ""Featuring a fantastic cast The Usual Suspects features a plethora of interesting and entertaining characters, none more so than Kint himself and by the time the movie reaches its fantastically clever finale most viewers will realise they have just watched a cinematic masterpiece."" ]";1.0;1.0;1.0;0.0;9.0;8
rain-man;9;drlowdon;/user/drlowdon;May 24, 2013;"[ ""Following the death of his father arrogant car salesman Charlie Babbitt learns that a 3 million dollar inheritance has been left to a brother he never knew existed. He soon learns that his brother Raymond suffers from severe autism and decides to kidnap him in the hope of receiving as ransom the cash he believes should be his. Over the course of the film an unlikely relationship forms between the two that is as just as rewarding for the viewer as it is for the characters."", """", ""Hoffman won an Oscar for what is quite simply a fantastic performance but Tom Cruise and the beautiful Valeria Golino also give arguably their best ever performances in a movie that is both funny and moving throughout."" ]";0.0;0.0;0.0;0.0;9.0;8
iron-man;9;drlowdon;/user/drlowdon;Oct 16, 2013;"[ ""One of the first movies made by Marvel Studio's the original Iron Man remains, with the possible exception of Josh Whedon's 'The Avengers', my favourite superhero movie. With a great mix of humour (Robert Downey Jr was born to play Tony Stark), a number of great action scenes and an excellent soundtrack this is the perfect reminder of just how good a summer blockbuster can be."" ]";0.0;0.0;0.0;0.0;9.0;8
austin-powers-the-spy-who-shagged-me;9;drlowdon;/user/drlowdon;Jun 11, 2017;"[ ""Having had his plans thwarted by Austin Powers in the original movie Dr Evil travels back in time to 1969 and steals Austins mojo, apparently the source of all his power. With Austin incapacitated he again devises a plot to hold the entire planet to ransom. As a result Austin must also travel back in time to recover his mojo and, alongside hot sidekick Felicity Shagwell, again put a stop to Dr Evils plans."", ""It is always difficult to make a comedy sequel but, despite obviously now lacking some of the originality, The Spy Who is just as good as the first movie. The star of the show is again Dr Evil who alongside, tiny sidekick Mini-Me provides the majority of the funniest moments, with the appearance on Jerry Springer being a particular highlight. Spoofing all manner of movies as well as providing some clever in jokes The Spy Who is another hilarious ride."" ]";0.0;0.0;0.0;0.0;9.0;8
the-truman-show;9;drlowdon;/user/drlowdon;May 24, 2013;"[ ""Taking reality TV taken to its ultimate extreme everything Truman Burbank has done since birth has been seen live by a worldwide audience of millions. Unfortunately for Truman he is unaware of this as he lives inside a giant Hollywood dome containing a made for TV town. Everyone in his life, his friends, his neighbours, even his wife are all actors hired by the shows creator."", """", ""Jim Carrey is unusually reserved, but brilliant in the title role importantly making Truman likable so that we really begin to feel for him as the movie reaches its climax. Part satire, part comedy and part drama The Truman Show is one of those rare movies that takes an original, intelligent and interesting concept and truly makes the most out of it. It is rare for a film to entertain whilst also making you think but this is one movie that certainly manages it."" ]";0.0;0.0;0.0;0.0;9.0;8
